Wikidata Link;Wikidata Label;Database
http://www.wikidata.org/entity/Q119289852;Sappho fr. 90 Voigt (Commentarius);90
http://www.wikidata.org/entity/Q119289892;Sappho fr. 91 Voigt;91
http://www.wikidata.org/entity/Q119289921;Sappho fr. 92 Voigt;92
http://www.wikidata.org/entity/Q119289941;Sappho fr. 93 Voigt;93
http://www.wikidata.org/entity/Q28229948;Sappho fr. 94 Voigt;94
http://www.wikidata.org/entity/Q119289987;Sappho fr. 95 Voigt;95
http://www.wikidata.org/entity/Q119289993;Sappho fr. 96 Voigt;96
http://www.wikidata.org/entity/Q119290022;Sappho fr. 97 Voigt;97
http://www.wikidata.org/entity/Q119290037;Sappho fr. 98 Voigt;98
http://www.wikidata.org/entity/Q119290904;Sappho fr. 100 Voigt;100
http://www.wikidata.org/entity/Q119290936;Sappho fr. 101 Voigt;101
http://www.wikidata.org/entity/Q119290974;Sappho fr. 101A Voigt;101a
http://www.wikidata.org/entity/Q119291006;Sappho fr. 102 Voigt;102
http://www.wikidata.org/entity/Q119291036;Sappho fr. 103 Voigt;103
http://www.wikidata.org/entity/Q119291214;Sappho fr. 103A Voigt;103a
http://www.wikidata.org/entity/Q119291240;Sappho fr. 103B Voigt;103b
http://www.wikidata.org/entity/Q119291277;Sappho fr. 103C Voigt;103c
http://www.wikidata.org/entity/Q119291373;Sappho fr. 104 Voigt;104
http://www.wikidata.org/entity/Q119291392;Sappho fr. 105 Voigt;105
http://www.wikidata.org/entity/Q119291423;Sappho fr. 106 Voigt;106
http://www.wikidata.org/entity/Q119291443;Sappho fr. 107 Voigt;107
http://www.wikidata.org/entity/Q119291457;Sappho fr. 108 Voigt;108
http://www.wikidata.org/entity/Q119291484;Sappho fr. 109 Voigt;109
http://www.wikidata.org/entity/Q119291509;Sappho fr. 110 Voigt;110
http://www.wikidata.org/entity/Q119291526;Sappho fr. 111 Voigt;111
http://www.wikidata.org/entity/Q119291547;Sappho fr. 112 Voigt;112
http://www.wikidata.org/entity/Q119291575;Sappho fr. 113 Voigt;113
http://www.wikidata.org/entity/Q119291602;Sappho fr. 114 Voigt;114
http://www.wikidata.org/entity/Q119291626;Sappho fr. 115 Voigt;115
http://www.wikidata.org/entity/Q119291635;Sappho fr. 116 Voigt;116
http://www.wikidata.org/entity/Q119291668;Sappho fr. 117 Voigt;117
http://www.wikidata.org/entity/Q119291693;Sappho fr. 117A Voigt;117a
http://www.wikidata.org/entity/Q119291733;Sappho fr. 117B Voigt;117b
http://www.wikidata.org/entity/Q119291798;Sappho fr. 118 Voigt;118
http://www.wikidata.org/entity/Q119291819;Sappho fr. 119 Voigt;119
http://www.wikidata.org/entity/Q119291851;Sappho fr. 120 Voigt;120
http://www.wikidata.org/entity/Q119291871;Sappho fr. 121 Voigt;121
http://www.wikidata.org/entity/Q119291885;Sappho fr. 122 Voigt;122
http://www.wikidata.org/entity/Q119291918;Sappho fr. 123 Voigt;123
http://www.wikidata.org/entity/Q119291951;Sappho fr. 124 Voigt;124
http://www.wikidata.org/entity/Q119292006;Sappho fr. 125 Voigt;125
http://www.wikidata.org/entity/Q119292048;Sappho fr. 126 Voigt;126
http://www.wikidata.org/entity/Q119292071;Sappho fr. 127 Voigt;127
http://www.wikidata.org/entity/Q119292090;Sappho fr. 128 Voigt;128
http://www.wikidata.org/entity/Q119292134;Sappho fr. 129 Voigt;129
http://www.wikidata.org/entity/Q119292152;Sappho fr. 130 Voigt;130
http://www.wikidata.org/entity/Q119292181;Sappho fr. 132 Voigt;132
http://www.wikidata.org/entity/Q119292212;Sappho fr. 133 Voigt;133
http://www.wikidata.org/entity/Q119292236;Sappho fr. 134 Voigt;134
http://www.wikidata.org/entity/Q119292264;Sappho fr. 135 Voigt;135
http://www.wikidata.org/entity/Q119292276;Sappho fr. 136 Voigt;136
http://www.wikidata.org/entity/Q119292311;Sappho fr. 137 Voigt;137
http://www.wikidata.org/entity/Q119292331;Sappho fr. 138 Voigt;138
http://www.wikidata.org/entity/Q119292347;Sappho fr. 139 Voigt;139
http://www.wikidata.org/entity/Q119292356;Sappho fr. 140 Voigt;140
http://www.wikidata.org/entity/Q119292368;Sappho fr. 141 Voigt;141
http://www.wikidata.org/entity/Q119292371;Sappho fr. 142 Voigt;142
http://www.wikidata.org/entity/Q119292376;Sappho fr. 143 Voigt;143
http://www.wikidata.org/entity/Q119292383;Sappho fr. 144 Voigt;144
http://www.wikidata.org/entity/Q119292386;Sappho fr. 145 Voigt;145
http://www.wikidata.org/entity/Q119292392;Sappho fr. 146 Voigt;146
http://www.wikidata.org/entity/Q119292396;Sappho fr. 147 Voigt;147
http://www.wikidata.org/entity/Q119292400;Sappho fr. 148 Voigt;148
http://www.wikidata.org/entity/Q119292408;Sappho fr. 149 Voigt;149
http://www.wikidata.org/entity/Q119292412;Sappho fr. 150 Voigt;150
http://www.wikidata.org/entity/Q119292416;Sappho fr. 151 Voigt;151
http://www.wikidata.org/entity/Q119292419;Sappho fr. 152 Voigt;152
http://www.wikidata.org/entity/Q119292506;Sappho fr. 153 Voigt;153
http://www.wikidata.org/entity/Q119292511;Sappho fr. 154 Voigt;154
http://www.wikidata.org/entity/Q119292513;Sappho fr. 155 Voigt;155
http://www.wikidata.org/entity/Q119292515;Sappho fr. 156 Voigt;156
http://www.wikidata.org/entity/Q119292518;Sappho fr. 157 Voigt;157
http://www.wikidata.org/entity/Q119292522;Sappho fr. 158 Voigt;158
http://www.wikidata.org/entity/Q119292525;Sappho fr. 159 Voigt;159
http://www.wikidata.org/entity/Q119292529;Sappho fr. 160 Voigt;160
http://www.wikidata.org/entity/Q119292535;Sappho fr. 161 Voigt;161
http://www.wikidata.org/entity/Q119292538;Sappho fr. 162 Voigt;162
http://www.wikidata.org/entity/Q119292544;Sappho fr. 163 Voigt;163
http://www.wikidata.org/entity/Q119292546;Sappho fr. 164 Voigt;164
http://www.wikidata.org/entity/Q119292548;Sappho fr. 165 Voigt;165
http://www.wikidata.org/entity/Q119292551;Sappho fr. 166 Voigt;166
http://www.wikidata.org/entity/Q119292554;Sappho fr. 167 Voigt;167
http://www.wikidata.org/entity/Q119292556;Sappho fr. 168 Voigt;168
http://www.wikidata.org/entity/Q119292560;Sappho Fr. 168A Voigt;168a
http://www.wikidata.org/entity/Q24884666;Midnight poem;168b
http://www.wikidata.org/entity/Q119292567;Sappho fr. 168C Voigt;168c
http://www.wikidata.org/entity/Q119292581;Sappho fr. 169 Voigt;169
http://www.wikidata.org/entity/Q119292586;Sappho fr. 169A Voigt;169a
http://www.wikidata.org/entity/Q119292594;Sappho fr. 170 Voigt;170
